churn_probability,predicted_churn,actual_churn,monthly_charges,tenure,contract,avg_remaining_tenure,clv,rank,risk_level
0.43946412,1,0,108.1,48,Two year,30,3243.0,1,Medium
0.7743171,1,0,117.2,68,One year,18,2109.6,2,Critical
0.44426546,1,0,110.75,62,One year,18,1993.5,3,Medium
0.43921396,1,1,108.45,68,One year,18,1952.1000000000001,4,Medium
0.85883427,1,0,108.3,42,One year,18,1949.3999999999999,5,Critical
0.42371726,1,0,107.75,58,One year,18,1939.5,6,Medium
0.35476354,1,0,106.8,51,One year,18,1922.3999999999999,7,Medium
0.3947428,1,0,106.5,52,One year,18,1917.0,8,Medium
0.42809573,1,0,106.05,44,One year,18,1908.8999999999999,9,Medium
0.5794587,1,0,105.95,40,One year,18,1907.1000000000001,10,High
0.35677633,1,0,105.75,40,One year,18,1903.5,11,Medium
0.56519055,1,0,105.4,67,One year,18,1897.2,12,High
0.51742846,1,0,104.3,43,One year,18,1877.3999999999999,13,High
0.45605108,1,0,103.95,50,One year,18,1871.1000000000001,14,Medium
0.49151626,1,1,100.95,19,One year,18,1817.1000000000001,15,Medium
0.3905089,1,0,100.05,22,One year,18,1800.8999999999999,16,Medium
0.4718099,1,0,100.0,39,One year,18,1800.0,17,Medium
0.5169321,1,0,98.9,10,One year,18,1780.2,18,High
0.4953079,1,0,97.95,49,One year,18,1763.1000000000001,19,Medium
0.49634513,1,0,94.05,7,One year,18,1692.8999999999999,20,Medium
0.36805415,1,0,114.1,61,Month-to-month,12,1369.1999999999998,21,Medium
0.377648,1,1,113.2,41,Month-to-month,12,1358.4,22,Medium
0.5122907,1,0,111.45,48,Month-to-month,12,1337.4,23,High
0.45702073,1,0,108.9,34,Month-to-month,12,1306.8000000000002,24,Medium
0.40899417,1,0,108.2,20,Month-to-month,12,1298.4,25,Medium
0.8289802,1,1,106.7,12,Month-to-month,12,1280.4,26,Critical
0.46764147,1,0,106.45,61,Month-to-month,12,1277.4,27,Medium
0.6121304,1,1,106.4,47,Month-to-month,12,1276.8000000000002,28,High
0.7316656,1,1,106.35,34,Month-to-month,12,1276.1999999999998,29,Critical
0.5790672,1,0,106.35,47,Month-to-month,12,1276.1999999999998,30,High
0.39401782,1,1,105.9,60,Month-to-month,12,1270.8000000000002,31,Medium
0.6732125,1,0,105.5,25,Month-to-month,12,1266.0,32,High
0.39462328,1,0,105.4,63,Month-to-month,12,1264.8000000000002,33,Medium
0.51074916,1,0,105.35,33,Month-to-month,12,1264.1999999999998,34,High
0.902204,1,1,105.35,3,Month-to-month,12,1264.1999999999998,35,Critical
0.90901816,1,1,105.3,6,Month-to-month,12,1263.6,36,Critical
0.41450444,1,0,105.25,48,Month-to-month,12,1263.0,37,Medium
0.6447004,1,0,105.2,66,Month-to-month,12,1262.4,38,High
0.7540655,1,1,105.0,38,Month-to-month,12,1260.0,39,Critical
0.43783662,1,0,105.0,19,Month-to-month,12,1260.0,40,Medium
0.7553488,1,1,104.85,14,Month-to-month,12,1258.1999999999998,41,Critical
0.60610735,1,1,104.75,42,Month-to-month,12,1257.0,42,High
0.7730279,1,0,104.35,21,Month-to-month,12,1252.1999999999998,43,Critical
